sample,fastq_1,fastq_2,strandedness
69_1_A,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/691A/691A_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/691A/691A_2.fq.gz,reverse
69_1_B,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/691B/691B_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/691B/691B_2.fq.gz,reverse
69_1_C,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/691C/691C_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/691C/691C_2.fq.gz,reverse
69_2_A,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/692A/692A_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/692A/692A_2.fq.gz,reverse
69_2_B,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/692B/692B_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/692B/692B_2.fq.gz,reverse
69_2_C,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/692C/692C_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/692C/692C_2.fq.gz,reverse
69_3_A,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/693A/693A_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/693A/693A_2.fq.gz,reverse
69_3_B,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/693B/693B_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/693B/693B_2.fq.gz,reverse
69_3_C,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/693C/693C_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/693C/693C_2.fq.gz,reverse
69_4_A,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/694A/694A_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/694A/694A_2.fq.gz,reverse
69_4_B,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/694B/694B_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/694B/694B_2.fq.gz,reverse
69_4_C,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/694C/694C_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/694C/694C_2.fq.gz,reverse
69_5_A,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/695A/695A_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/695A/695A_2.fq.gz,reverse
69_5_B,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/695B/695B_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/695B/695B_2.fq.gz,reverse
69_5_C,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/695C/695C_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/695C/695C_2.fq.gz,reverse
69_6_A,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/696A/696A_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/696A/696A_2.fq.gz,reverse
69_6_B,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/696B/696B_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/696B/696B_2.fq.gz,reverse
69_6_C,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/696C/696C_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/696C/696C_2.fq.gz,reverse
69_7_A,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/697A/697A_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/697A/697A_2.fq.gz,reverse
69_7_B,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/697B/697B_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/697B/697B_2.fq.gz,reverse
69_7_C,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/697C/697C_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/697C/697C_2.fq.gz,reverse
69_8_A,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/698A/698A_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/698A/698A_2.fq.gz,reverse
69_8_B,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/698B/698B_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/698B/698B_2.fq.gz,reverse
69_8_C,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/698C/698C_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/698C/698C_2.fq.gz,reverse
69_9_A,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/699A/699A_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/699A/699A_2.fq.gz,reverse
69_9_B,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/699B/699B_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/699B/699B_2.fq.gz,reverse
69_9_C,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/699C/699C_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/699C/699C_2.fq.gz,reverse
69_10_A,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/6910A/6910A_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/6910A/6910A_2.fq.gz,reverse
69_10_B,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/6910B/6910B_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/6910B/6910B_2.fq.gz,reverse
69_10_C,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/6910C/6910C_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/6910C/6910C_2.fq.gz,reverse
