sample,fastq_1,fastq_2,strandedness
F_1_A,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F1A/F1A_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F1A/F1A_2.fq.gz,reverse
F_1_B,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F1B/F1B_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F1B/F1B_2.fq.gz,reverse
F_1_C,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F1C/F1C_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F1C/F1C_2.fq.gz,reverse
F_2_A,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F2A/F2A_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F2A/F2A_2.fq.gz,reverse
F_2_B,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F2B/F2B_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F2B/F2B_2.fq.gz,reverse
F_2_C,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F2C/F2C_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F2C/F2C_2.fq.gz,reverse
F_3_A,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F3A/F3A_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F3A/F3A_2.fq.gz,reverse
F_3_B,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F3B/F3B_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F3B/F3B_2.fq.gz,reverse
F_3_C,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F3C/F3C_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F3C/F3C_2.fq.gz,reverse
F_4_A,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F4A/F4A_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F4A/F4A_2.fq.gz,reverse
F_4_B,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F4B/F4B_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F4B/F4B_2.fq.gz,reverse
F_4_C,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F4C/F4C_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F4C/F4C_2.fq.gz,reverse
F_5_A,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F5A/F5A_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F5A/F5A_2.fq.gz,reverse
F_5_B,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F5B/F5B_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F5B/F5B_2.fq.gz,reverse
F_5_C,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F5C/F5C_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F5C/F5C_2.fq.gz,reverse
F_6_A,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F6A/F6A_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F6A/F6A_2.fq.gz,reverse
F_6_B,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F6B/F6B_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F6B/F6B_2.fq.gz,reverse
F_6_C,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F6C/F6C_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F6C/F6C_2.fq.gz,reverse
F_7_A,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F7A/F7A_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F7A/F7A_2.fq.gz,reverse
F_7_B,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F7B/F7B_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F7B/F7B_2.fq.gz,reverse
F_7_C,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F7C/F7C_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F7C/F7C_2.fq.gz,reverse
F_8_A,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F8A/F8A_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F8A/F8A_2.fq.gz,reverse
F_8_B,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F8B/F8B_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F8B/F8B_2.fq.gz,reverse
F_8_C,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F8C/F8C_1.fq.gz,/home/materna/lu2023-12-14/Students/Jakob/data/soapnuke/clean/F8C/F8C_2.fq.gz,reverse
