gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
BVRB_1g001980	5283.41886105352	-1.71777992809282	0.109362736139688	-15.7071776797785	1.35059152897796e-55	2.76439074151209e-51
BVRB_7g173470	126.37166903199	1.30882100516559	0.0928968712478373	14.0889675570861	4.44005378032448e-45	4.54395103878408e-41
BVRB_6g153730	246.848384524297	-1.33343565648344	0.0978524102972043	-13.6270088026798	2.7669062393062e-42	1.88776789687064e-38
BVRB_012940	164.691086549956	1.50299139671749	0.117709188732346	12.7686836763023	2.45267170108301e-37	1.25503210944417e-33
BVRB_3g066850	22.3188053734234	2.77640680364814	0.249044164179556	11.1482508044092	7.30278211892473e-29	2.98946688820303e-25
BVRB_5g114270	943.918232678824	1.21440031196675	0.116716609927109	10.4046914378781	2.36019482961583e-25	8.04493027429769e-22
BVRB_9g217450	25724.2284696099	1.01526939216652	0.0977153019295702	10.3900757825862	2.75134414305666e-25	8.04493027429769e-22
BVRB_2g046860	436.264981526906	-0.854320802617493	0.0881010953613978	-9.69705086086615	3.10339146447816e-22	7.94002706186737e-19
BVRB_2g023780	27.2705775488647	2.22931913457358	0.232266412754082	9.5981123923153	8.14218397390081e-22	1.85171357308669e-18
BVRB_3g057500	1536.92957844146	-0.936309282778728	0.107761166001254	-8.68874491176005	3.66465472179836e-18	7.50081528457689e-15
BVRB_9g216730	45.4382030998162	1.34856616351944	0.157713988099923	8.55070738979111	1.22336404268832e-17	2.27634683870405e-14
BVRB_003830	569.543194855638	-0.826011873624635	0.0993677228973916	-8.31267789519124	9.35662352972723e-17	1.59592808672047e-13
BVRB_7g169350	390.102079953118	1.08678450056685	0.131583452800964	8.25927939594915	1.46554520810756e-16	2.30744456304197e-13
BVRB_2g028020	328.901632430026	-0.813493316870215	0.0992415311455674	-8.19710566211421	2.46243988340574e-16	3.60008710953919e-13
BVRB_4g072140	212.331468247026	2.19491966899955	0.272014496734656	8.0691275477889	7.08022710174896e-16	9.66120588790651e-13
BVRB_3g053350	150.009488421333	-1.92522991829578	0.240112268173508	-8.01804061467025	1.07445283237377e-15	1.37449378581414e-12
BVRB_4g079790	244.019662165243	-1.64301139203593	0.211642023817997	-7.76316235498132	8.28374591499989e-15	9.97363008165987e-12
BVRB_6g152140	135.961212873597	1.66038778321383	0.21478904613726	7.73031871538164	1.07277658918875e-14	1.2198661793064e-11
BVRB_4g077040	238.068694621519	0.754529562381776	0.0983616042071518	7.67097658139776	1.70691713031216e-14	1.8387989380647e-11
BVRB_3g066840	75.9003837019185	1.87249989388345	0.245425291281943	7.62961259657764	2.35460202551531e-14	2.40969971291237e-11
